endbulb_class,hsr_num,msr_num,lsr_num,target_spont_rate,hsr_weight,msr_weight,lsr_weight
20%-depressing,35,0,0,50.0,9.13047790527e-09,0,0
30%-depressing,35,0,0,7.5,6.79588317871e-09,0,0
30%-depressing,35,0,0,20.0,7.92808532715e-09,0,0
30%-depressing,35,0,0,50.0,9.58442687988e-09,0,0
40%-depressing,35,0,0,7.5,7.25517272949e-09,0,0
40%-depressing,35,0,0,20.0,8.45146179199e-09,0,0
40%-depressing,35,0,0,50.0,1.02268218994e-08,0,0
50%-depressing,35,0,0,7.5,8.02421569824e-09,0,0
50%-depressing,35,0,0,20.0,9.31739807129e-09,0,0
50%-depressing,35,0,0,50.0,1.12468719482e-08,0,0
60%-depressing,35,0,0,7.5,9.32502746582e-09,0,0
60%-depressing,35,0,0,20.0,1.08028411865e-08,0,0
60%-depressing,35,0,0,50.0,1.31519317627e-08,0,0
70%-depressing,35,0,0,7.5,1.21387481689e-08,0,0
70%-depressing,35,0,0,20.0,1.41666412354e-08,0,0
70%-depressing,35,0,0,50.0,1.72092437744e-08,0,0
tonic,40,0,0,7.5,5.6583404541e-09,0,0
tonic,40,0,0,20.0,6.55708312988e-09,0,0
tonic,40,0,0,50.0,7.98835754395e-09,0,0
yang2009,40,0,0,7.5,1.36241912842e-08,0,0
yang2009,40,0,0,20.0,1.57741546631e-08,0,0
yang2009,40,0,0,50.0,1.89548492432e-08,0,0
yang2009mean,40,0,0,7.5,1.90334320068e-08,0,0
yang2009mean,40,0,0,20.0,2.21813201904e-08,0,0
yang2009mean,40,0,0,50.0,2.66170501709e-08,0,0
10%-depressing,40,0,0,7.5,5.81016540527e-09,0,0
10%-depressing,40,0,0,20.0,6.78443908691e-09,0,0
10%-depressing,40,0,0,50.0,8.21418762207e-09,0,0
20%-depressing,40,0,0,7.5,6.02989196777e-09,0,0
20%-depressing,40,0,0,20.0,7.05986022949e-09,0,0
20%-depressing,40,0,0,50.0,8.53614807129e-09,0,0
30%-depressing,40,0,0,7.5,6.32286071777e-09,0,0
30%-depressing,40,0,0,20.0,7.42607116699e-09,0,0
30%-depressing,40,0,0,50.0,8.97636413574e-09,0,0
40%-depressing,40,0,0,7.5,6.74095153809e-09,0,0
40%-depressing,40,0,0,20.0,7.92961120605e-09,0,0
40%-depressing,40,0,0,50.0,9.6004486084e-09,0,0
50%-depressing,40,0,0,7.5,7.43522644043e-09,0,0
50%-depressing,40,0,0,20.0,8.75816345215e-09,0,0
50%-depressing,40,0,0,50.0,1.06075286865e-08,0,0
60%-depressing,40,0,0,7.5,8.69636535645e-09,0,0
60%-depressing,40,0,0,20.0,1.01329803467e-08,0,0
60%-depressing,40,0,0,50.0,1.23432159424e-08,0,0
70%-depressing,40,0,0,7.5,1.13925933838e-08,0,0
70%-depressing,40,0,0,20.0,1.33098602295e-08,0,0
70%-depressing,40,0,0,50.0,1.62014007568e-08,0,0
tonic,45,0,0,7.5,5.34706115723e-09,0,0
tonic,45,0,0,20.0,6.29386901855e-09,0,0
tonic,45,0,0,50.0,7.51533508301e-09,0,0
yang2009,45,0,0,7.5,1.30756378174e-08,0,0
yang2009,45,0,0,20.0,1.50371551514e-08,0,0
yang2009,45,0,0,50.0,1.79630279541e-08,0,0
yang2009mean,45,0,0,7.5,1.82689666748e-08,0,0
yang2009mean,45,0,0,20.0,2.11048126221e-08,0,0
yang2009mean,45,0,0,50.0,2.51140594482e-08,0,0
10%-depressing,45,0,0,7.5,5.51338195801e-09,0,0
10%-depressing,45,0,0,20.0,6.48231506348e-09,0,0
10%-depressing,45,0,0,50.0,7.73887634277e-09,0,0
20%-depressing,45,0,0,7.5,5.72166442871e-09,0,0
20%-depressing,45,0,0,20.0,6.7081451416e-09,0,0
20%-depressing,45,0,0,50.0,8.03871154785e-09,0,0
30%-depressing,45,0,0,7.5,6.02378845215e-09,0,0
30%-depressing,45,0,0,20.0,7.04002380371e-09,0,0
30%-depressing,45,0,0,50.0,8.44383239746e-09,0,0
40%-depressing,45,0,0,7.5,6.44264221191e-09,0,0
40%-depressing,45,0,0,20.0,7.50541687012e-09,0,0
40%-depressing,45,0,0,50.0,9.03663635254e-09,0,0
50%-depressing,45,0,0,7.5,7.09342956543e-09,0,0
50%-depressing,45,0,0,20.0,8.2706451416e-09,0,0
50%-depressing,45,0,0,50.0,9.96360778809e-09,0,0
60%-depressing,45,0,0,7.5,8.21876525879e-09,0,0
60%-depressing,45,0,0,20.0,9.66606140137e-09,0,0
60%-depressing,45,0,0,50.0,1.16413116455e-08,0,0
